x0,lovas without vegetation,x1, loavas with vegetation,x2,Mendez and Losada without vegetation,x3,Mendez and Losada with vegetation,x4,SWAN without vegetation,x5,SWAN with vegetation
1.15204,0.22052,1.17676,0.21262,0.3856,0.22145,0.20018,0.22052,0.06008,0.22145,0.3856,0.22145
5.86602,0.22315,8.30542,0.22486,0.75646,0.22052,0.61636,0.21959,0.34028,0.22145,0.78118,0.22052
8.26009,0.22919,9.62813,0.18211,1.15204,0.22145,1.01194,0.21882,0.78118,0.22145,1.19736,0.22145
9.60341,0.22052,10.90552,0.19341,1.59294,0.22052,1.36219,0.21789,1.22209,0.22052,1.57234,0.21959
10.8808,0.22408,12.02221,0.14803,2.01324,0.22052,1.84842,0.21882,1.57234,0.22052,1.9638,0.21882
12.04281,0.20921,12.83397,0.15066,2.35938,0.22052,2.14922,0.22052,1.98852,0.22052,2.244,0.21959
12.78452,0.20038,13.80643,0.13409,2.80028,0.22145,2.61485,0.21959,2.33877,0.21882,2.80028,0.22145
13.80643,0.18133,14.89839,0.13595,3.17114,0.22145,3.05576,0.21959,2.77968,0.21882,3.17114,0.22145
14.89839,0.17684,16.13046,0.13936,3.56671,0.22145,3.49666,0.21959,3.19586,0.21959,3.61204,0.22052
16.10573,0.15763,17.4985,0.12898,4.00762,0.22052,3.75214,0.22145,3.63677,0.22052,4.03234,0.22052
17.4779,0.12975,,,4.4032,0.22052,4.07767,0.22052,4.10239,0.22145,4.37848,0.22052
,,,,4.77405,0.22052,4.58863,0.22052,4.42792,0.22052,4.75345,0.22052
,,,,5.16963,0.22052,4.93888,0.22052,4.77405,0.22052,5.14491,0.22052
,,,,5.58581,0.22222,5.35506,0.22052,5.16963,0.22052,5.63526,0.22145
,,,,6.00612,0.22145,5.93607,0.22145,5.72591,0.22145,5.98139,0.22145
,,,,6.47175,0.22749,6.30692,0.22579,6.00612,0.22145,6.40169,0.22919
,,,,6.8426,0.23183,6.65717,0.22842,6.35225,0.22842,6.81788,0.22919
,,,,7.21346,0.23369,6.95798,0.22656,6.35225,0.22842,7.25878,0.22145
,,,,7.58431,0.23276,7.79446,0.22145,6.72722,0.22919,7.58431,0.21618
,,,,8.02522,0.23369,8.44552,0.21092,7.25878,0.23012,8.02522,0.20828
,,,,8.42079,0.23446,9.0018,0.20395,7.25878,0.23012,8.44552,0.20658
,,,,8.83698,0.23369,9.69818,0.19434,7.58431,0.22842,8.79165,0.20038
,,,,9.23255,0.23183,10.36984,0.18474,8.04994,0.22919,9.18723,0.19434
,,,,9.62813,0.23183,11.06623,0.1725,8.79165,0.22919,9.65286,0.19001
,,,,10.02371,0.23012,11.51125,0.1629,9.23255,0.22919,10.32452,0.1787
,,,,10.41929,0.22842,12.25296,0.15252,9.65286,0.22749,10.81075,0.1708
,,,,10.8808,0.22842,12.87929,0.14199,9.95366,0.22486,11.20633,0.1646
,,,,11.20633,0.22579,13.48502,0.13146,10.34924,0.22222,11.60191,0.15686
,,,,11.62663,0.22222,14.18141,0.12108,10.83547,0.22315,12.02221,0.14896
,,,,12.02221,0.21959,14.78302,0.12278,11.18572,0.22145,12.41367,0.14199
,,,,12.43839,0.21618,15.4794,0.12371,11.62663,0.21959,12.80924,0.13672
,,,,12.80924,0.20999,16.17578,0.12449,12.04281,0.21618,13.1801,0.12975
,,,,13.1801,0.20658,16.87217,0.12185,12.41367,0.21185,13.6004,0.12108
,,,,13.621,0.20131,17.38312,0.11752,12.83397,0.20751,13.97126,0.11845
,,,,13.97126,0.19434,18.24433,0.10714,13.20482,0.20395,14.38744,0.11845
,,,,14.36683,0.1883,18.87066,0.09661,13.67045,0.19868,14.82834,0.11845
,,,,14.80774,0.18133,,,14.04131,0.19264,15.22392,0.11845
,,,,15.20332,0.17684,,,14.41216,0.18737,15.59478,0.11937
,,,,15.57417,0.16987,,,14.87779,0.18133,16.03568,0.11937
,,,,16.01508,0.15949,,,15.17859,0.17684,16.45598,0.11674
,,,,16.41066,0.15593,,,15.6195,0.16817,16.85156,0.11674
,,,,16.78151,0.14726,,,16.03568,0.15856,17.24302,0.11581
,,,,17.22242,0.13843,,,16.38593,0.15159,17.618,0.11411
,,,,17.618,0.12898,,,16.73619,0.14369,18.0589,0.11055
,,,,17.96413,0.12278,,,17.12764,0.13672,18.40503,0.10528
,,,,18.35971,0.11488,,,17.98885,0.12015,18.89539,0.09754
,,,,18.77589,0.10621,,,18.33498,0.11411,,
,,,,19.19619,0.09568,,,18.73056,0.10451,,
,,,,19.6371,0.0853,,,19.22091,0.0932,,
,,,,,,,,19.59177,0.08607,,
