real_test,predict_test,real_train,predict_train
0.15009,0.15953,0.10591,0.08632
0.17583,0.1373,0.119,0.11237
0.20519,0.17471,0.13432,0.13804
0.23616,0.24357,0.15131,0.13276
0.23455,0.28857,0.14379,0.16108
0.3355,0.34278,0.17026,0.15843
0.40146,0.43929,0.18753,0.19694
0.44168,0.40459,0.21956,0.21507
0.45294,0.43658,0.24045,0.21507
0.52815,0.57266,0.23488,0.25093
0.54987,0.52549,0.24435,0.27925
0.57762,0.50814,0.25383,0.24867
0.58687,0.61224,0.28057,0.29473
0.60698,0.60953,0.3126,0.31285
0.62709,0.60465,0.3165,0.25622
0.61221,0.59001,0.3374,0.33324
0.59773,0.56019,0.34492,0.32305
0.66208,0.622,0.36581,0.30492
0.62709,0.64911,0.36386,0.33853
0.65283,0.6567,0.35439,0.34872
0.65444,0.69844,0.3867,0.36684
0.70793,0.65398,0.40564,0.40535
0.70954,0.71091,0.38475,0.43367
0.72965,0.75049,0.3906,0.46199
0.75901,0.7532,0.42292,0.42083
0.7574,0.73097,0.43991,0.42083
0.77188,0.72609,0.42849,0.47218
0.78113,0.74561,0.44576,0.44387
0.81612,0.72338,0.4569,0.46463
0.81612,0.78248,0.47222,0.49295
0.79601,0.84916,0.48364,0.4567
0.80325,0.82477,0.51206,0.52882
0.82899,0.82477,0.531,0.52882
0.82537,0.88874,0.5388,0.5005
0.82698,0.86922,0.56526,0.5443
0.85272,0.84428,0.56526,0.57752
0.86197,0.82477,0.58226,0.58281
0.87846,0.82694,0.59173,0.57526
0.8672,0.85675,0.6012,0.58281
0.88932,0.85947,0.62042,0.59036
0.92592,0.91856,0.63156,0.57526
0.94643,0.98308,0.64131,0.56733
0.95729,0.95055,0.64688,0.58809
0.95005,0.88874,0.62989,0.61377
0.96453,0.91368,0.64298,0.65228
0.99952,0.9782,0.66025,0.62925
0.99952,0.99772,0.66387,0.60584
,,0.71708,0.65228
,,0.70204,0.70891
,,0.70204,0.73194
,,0.73602,0.70891
,,0.75887,0.70627
,,0.75887,0.7293
,,0.7324,0.75006
,,0.7324,0.78593
,,0.77419,0.80405
,,0.77976,0.77045
,,0.80817,0.78102
,,0.82154,0.80896
,,0.82349,0.74742
,,0.84049,0.79877
,,0.85943,0.80141
,,0.84801,0.82218
,,0.82154,0.8554
,,0.82349,0.889
,,0.84996,0.88636
,,0.86333,0.86069
,,0.89369,0.86069
,,0.90316,0.87617
,,0.8728,0.91959
,,0.84439,0.94035
,,0.89174,0.94035
,,0.91458,0.92223
,,0.93353,0.89391
,,0.95832,0.90939
,,0.97141,0.92752
,,0.98868,0.95847
,,0.9962,0.98641
,,0.98116,0.99963
,,0.96779,1.00982
,,0.94105,0.99699
